Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.75,0.87,0.46,1.00,0.74,0.35,0.75,0.63,0.49,1.04,0.75,0.74
Février,1.00,1.80,0.90,0.48,1.03,0.76,0.30,0.62,0.62,0.47,1.04,0.76,0.75
Mars,1.00,2.04,1.16,0.64,1.40,1.04,0.35,0.75,0.88,0.58,1.31,1.02,1.02
Avril,1.00,2.45,1.61,0.60,1.51,1.40,0.48,1.16,1.37,1.09,2.37,1.60,1.49
Mai,1.00,2.84,2.08,1.22,2.75,2.06,0.70,1.84,1.94,1.00,2.40,1.98,2.00
Juin,1.00,3.10,2.38,1.26,2.95,2.33,0.77,2.19,2.26,1.20,2.88,2.31,2.31
Juillet,1.00,3.04,2.29,1.26,2.92,2.25,0.71,1.99,2.14,1.10,2.66,2.19,2.21
Août,1.00,2.67,1.85,1.03,2.37,1.79,0.57,1.44,1.66,0.90,2.12,1.74,1.75
Septembre,1.00,2.21,1.38,0.78,1.73,1.29,0.48,1.07,1.15,0.67,1.58,1.26,1.26
Octobre,1.00,1.89,1.03,0.62,1.30,0.92,0.36,0.75,0.76,0.47,1.09,0.87,0.89
Novembre,1.00,1.77,0.90,0.53,1.12,0.78,0.35,0.74,0.64,0.42,0.95,0.75,0.76
Décembre,1.00,1.63,0.71,0.42,0.87,0.58,0.26,0.56,0.45,0.35,0.75,0.56,0.56
