Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.66,0.75,0.42,0.88,0.49,0.28,0.60,0.49,0.39,0.83,0.61,1.14
Février,1.00,1.79,0.91,0.53,1.11,0.64,0.33,0.69,0.64,0.48,1.03,0.76,1.21
Mars,1.00,2.01,1.13,0.56,1.26,0.85,0.35,0.74,0.85,0.66,1.42,1.02,1.29
Avril,1.00,2.40,1.57,0.87,1.96,1.35,0.51,1.20,1.35,0.85,1.90,1.47,1.72
Mai,1.00,2.86,2.08,1.11,2.58,1.92,0.65,1.73,1.92,1.08,2.51,2.00,2.36
Juin,1.00,2.98,2.26,1.14,2.71,2.15,0.77,2.11,2.15,1.27,2.91,2.23,2.72
Juillet,1.00,2.80,2.08,1.08,2.51,1.95,0.74,1.93,1.95,1.14,2.64,2.03,2.83
Août,1.00,2.57,1.76,0.92,2.12,1.56,0.55,1.36,1.56,0.97,2.18,1.67,2.15
Septembre,1.00,2.20,1.32,0.70,1.57,1.04,0.37,0.82,1.04,0.70,1.56,1.19,1.31
Octobre,1.00,1.86,0.98,0.49,1.07,0.69,0.33,0.68,0.69,0.54,1.18,0.85,1.15
Novembre,1.00,1.72,0.83,0.46,0.97,0.57,0.32,0.68,0.57,0.46,0.97,0.69,1.02
Décembre,1.00,1.59,0.66,0.38,0.77,0.40,0.24,0.50,0.40,0.34,0.72,0.51,0.86
