Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.67,0.75,0.41,0.87,0.61,0.26,0.55,0.47,0.39,0.83,0.60,0.59
Février,1.00,1.82,0.93,0.49,1.06,0.79,0.33,0.67,0.65,0.53,1.12,0.80,0.78
Mars,1.00,2.03,1.15,0.60,1.35,1.01,0.34,0.73,0.86,0.60,1.33,1.01,1.00
Avril,1.00,2.49,1.64,0.90,2.02,1.54,0.47,1.13,1.39,0.82,1.90,1.51,1.51
Mai,1.00,2.95,2.16,1.21,2.81,2.11,0.63,1.74,1.98,1.00,2.42,2.03,2.06
Juin,1.00,3.23,2.47,1.21,2.98,2.40,0.71,2.12,2.33,1.19,2.92,2.39,2.39
Juillet,1.00,3.13,2.36,1.21,2.89,2.29,0.68,1.99,2.21,1.18,2.82,2.28,2.28
Août,1.00,2.65,1.82,0.95,2.22,1.72,0.52,1.31,1.60,0.91,2.14,1.71,1.70
Septembre,1.00,2.19,1.29,0.67,1.52,1.16,0.32,0.72,0.99,0.62,1.44,1.14,1.14
Octobre,1.00,1.93,1.08,0.59,1.31,0.96,0.39,0.83,0.82,0.55,1.24,0.95,0.95
Novembre,1.00,1.74,0.86,0.48,1.03,0.73,0.33,0.70,0.60,0.47,1.00,0.72,0.72
Décembre,1.00,1.72,0.84,0.46,0.99,0.72,0.36,0.77,0.61,0.47,1.00,0.72,0.71
