Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.64,0.70,0.39,0.81,0.55,0.20,0.40,0.39,0.33,0.71,0.53,0.53
Février,1.00,1.77,0.85,0.46,0.99,0.70,0.23,0.45,0.53,0.41,0.90,0.68,0.68
Mars,1.00,2.09,1.18,0.64,1.43,1.05,0.30,0.64,0.87,0.55,1.28,1.02,1.03
Avril,1.00,2.56,1.66,0.91,2.08,1.56,0.40,1.00,1.39,0.73,1.80,1.50,1.53
Mai,1.00,3.08,2.27,1.24,2.90,2.23,0.64,1.82,2.10,1.02,2.56,2.15,2.18
Juin,1.00,3.58,2.84,1.54,3.62,2.81,0.74,2.45,2.70,1.33,3.29,2.74,2.76
Juillet,1.00,3.53,2.73,1.34,3.24,2.64,0.65,2.16,2.55,1.40,3.35,2.66,2.64
Août,1.00,2.90,2.03,1.08,2.50,1.93,0.48,1.33,1.78,0.94,2.29,1.89,1.90
Septembre,1.00,2.29,1.39,0.76,1.70,1.27,0.34,0.78,1.09,0.63,1.51,1.23,1.25
Octobre,1.00,1.91,1.01,0.62,1.31,0.89,0.28,0.58,0.70,0.42,0.99,0.83,0.85
Novembre,1.00,1.66,0.72,0.36,0.77,0.56,0.20,0.40,0.41,0.38,0.80,0.56,0.55
Décembre,1.00,1.59,0.64,0.40,0.79,0.50,0.18,0.36,0.34,0.26,0.59,0.46,0.47
