Orientation,Sud,Sud,Sud,Ouest,Ouest,Ouest,Nord,Nord,Nord,Est,Est,Est,Horizontal
Inclinaison,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,≥75°,75°>≥25°,<25°,Horizontal
Janvier,1.00,1.63,0.67,0.42,0.83,0.53,0.17,0.34,0.35,0.28,0.63,0.49,0.50
Février,1.00,1.77,0.83,0.48,1.02,0.69,0.21,0.40,0.51,0.35,0.80,0.65,0.66
Mars,1.00,2.08,1.17,0.71,1.53,1.07,0.29,0.63,0.86,0.49,1.17,0.99,1.02
Avril,1.00,2.60,1.72,0.85,1.98,1.58,0.43,1.10,1.46,0.93,2.13,1.62,1.59
Mai,1.00,3.20,2.38,1.30,3.04,2.34,0.62,1.85,2.19,1.03,2.62,2.24,2.28
Juin,1.00,3.55,2.80,1.54,3.65,2.80,0.74,2.41,2.65,1.17,3.04,2.66,2.72
Juillet,1.00,3.45,2.66,1.40,3.34,2.62,0.66,2.14,2.49,1.17,2.99,2.54,2.57
Août,1.00,2.89,2.01,1.11,2.60,1.96,0.49,1.35,1.77,0.81,2.08,1.84,1.89
Septembre,1.00,2.29,1.41,0.83,1.84,1.32,0.37,0.86,1.13,0.58,1.44,1.24,1.27
Octobre,1.00,1.90,0.99,0.65,1.36,0.89,0.27,0.54,0.68,0.37,0.90,0.79,0.83
Novembre,1.00,1.71,0.78,0.38,0.83,0.62,0.24,0.48,0.48,0.43,0.91,0.64,0.62
Décembre,1.00,1.59,0.63,0.41,0.81,0.50,0.17,0.34,0.33,0.25,0.56,0.45,0.46
