# DH14 (°Ch) Altitude ≥ 800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier - 9928.7 10601.2 - - 9560.8 9780.5 9012.6
Février - 8634.7 9450.3 - - 7641.0 8673.2 5792.2
Mars - 7937.8 7091.2 - - 6205.7 6554.6 5846.1
Avril - 5651.1 4784.4 - - 4599.9 3909.7 3211.5
Mai - 3258.1 2087.5 - - 2153.0 2226.3 962.1
Juin - 1073.6 1228.6 - - 531.1 - 226.5
Juillet - - - - - - - -
Aout - 385.2 - - - - - -
Septembre - 2065.2 1322.74 - - 1330.4 504.7 -
Octobre - 3860.9 3781.7 - - 2549.1 2359.0 1822.0
Novembre - 8233.8 7474.7 - - 6455.8 6590.0 5779.2
Décembre - 10560.5 10992.4 - - 9643.9 9641.0 7762.7
