# DH14 (ºCh) sous 400m d'altitude
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 8488.0 6952.7 7640.7 6080.0 5893.2 6588.7 6887.9 6041.1
Février 7038.8 5962.7 6768.8 6474.9 6575.7 4997.8 5991.6 3185.4
Mars 4733.2 5001.6 4277.2 4167.5 4004.4 3607.4 3901.6 3114.8
Avril 2950.5 3126.6 2436.0 2967.3 2758.8 2158.0 1915.2 1201.8
Mai 1036.8 1349.8 613.4 1233.0 1194.4 58.6 354.7 -
Juin - 27.2 119.0 217.4 162.4 - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 730.2 46.4 - 597.5 - 510.5 - -
Octobre 1056.0 1704.6 1762.7 1613.7 1529.2 880.2 748.3 402.1
Novembre 3795.0 5382.8 4669.4 3341.2 4286.9 3747.6 3992.8 3185.6
Décembre 6705.3 7584.5 8016.4 5818.4 6214.7 6667.9 6669.3 4827.6
