# DH21 (°Ch) Altitude ≤400m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 13200.4 11668.7 12341.2 10795.3 10607.8 11300.8 11520.5 10752.6
Février 11310.8 10218.7 11034.3 10746.9 10847.7 9225.0 10257.2 7375.6
Mars 9402.4 9689.8 8843.1 8719.6 8657.9 7919.8 8257.8 7568.3
Avril 7283.3 7285.0 6396.5 7309.9 6967.5 6225.4 5355.9 4671.7
Mai 3694.7 4759.3 3424.8 4964.6 4762.8 153.8 1149.5 -
Juin - 152.7 567.2 1271.2 1210.4 - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 3101.3 311.6 - 2190.7 - 1887.2 - -
Octobre 4977.9 5278.8 4156.7 5770.5 4872.7 3962.5 2367.4 1151.8
Novembre 8298.6 9913.8 9154.2 7844.0 8822.0 8128.7 8239.6 7441.6
Décembre 11061.3 11940.5 12372.4 10167.6 10569.0 11023.9 11021.0 9142.7
