# E (kWh/m²) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 38.36 31.13 47.86 39.47 32.40 40.40 98.24 92.47
Février 37.47 45.92 55.90 61.19 59.81 63.77 100.73 91.37
Mars 77.61 61.88 91.20 95.11 73.50 110.02 116.26 109.83
Avril 86.79 79.71 86.83 84.18 89.72 86.61 104.57 115.14
Mai 87.83 86.58 81.59 87.48 84.09 38.61 34.00 -
Juin 84.66 1.39 68.95 32.35 27.62 - - -
Juillet 37.58 - - - - - - -
Aout 33.14 14.78 - - - - - -
Septembre 94.30 96.37 41.47 48.52 46.26 53.63 - -
Octobre 61.45 61.93 66.87 61.93 87.26 72.63 85.05 33.73
Novembre 43.04 33.95 45.76 63.38 42.57 63.30 87.35 85.22
Décembre 34.26 37.72 33.59 41.26 27.50 38.16 85.07 75.00
