# E (kWh/m²) Altitude ≥ 800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier - 31.13 47.86 - - 40.40 98.24 92.47
Février - 45.92 55.90 - - 63.77 100.73 91.37
Mars - 61.88 91.20 - - 110.02 116.26 109.83
Avril - 79.71 86.83 - - 86.61 104.57 115.14
Mai - 86.58 81.59 - - 95.01 92.56 105.38
Juin - 68.66 53.86 - - 34.59 - 31.31
Juillet - - - - - - - -
Aout - 14.78 - - - - - -
Septembre - 88.70 91.65 - - 57.18 41.82 -
Octobre - 61.93 66.87 - - 72.63 73.86 100.47
Novembre - 33.95 45.76 - - 63.30 87.35 85.22
Décembre - 37.72 33.59 - - 38.16 85.07 75.00
