# DH14 (°Ch) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 9972.4 8440.7 9115.3 7567.3 7379.8 8072.8 8308.1 7524.6
Février 8382.8 7290.9 8106.3 7818.9 7919.7 6306.6 7329.2 4463.9
Mars 6180.0 6457.6 5638.5 5541.4 5432.4 4849.4 5169.6 4426.6
Avril 4240.7 4332.8 3536.6 4258.1 3989.0 3326.0 2849.1 1544.1
Mai 1879.7 1406.2 1223.4 1990.3 1920.4 777.3 7.7 -
Juin 528.5 - 278.8 - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 1401.6 1050.4 425.5 134.7 - - - -
Octobre 2067.4 2696.5 2720.9 2703.4 2519.2 1600.9 1219.3 44.5
Novembre 5187.5 6795.1 6054.9 4724.0 5707.6 5072.9 5245.4 4430.9
Décembre 8193.3 9072.5 9504.4 7299.6 7701.0 8155.9 8153.0 6280.4
