# DH14 (ºCh) sous 400m d'altitude
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 8488.0 6952.7 7640.7 6080.0 5893.2 6588.7 6887.9 6041.1
Février 7038.8 5962.7 6768.8 6474.9 6575.7 4997.8 5991.6 3185.4
Mars 4733.2 5001.6 4277.2 4167.5 4004.4 3607.4 3901.6 3114.8
Avril 2950.5 3126.6 2436.0 2967.3 2758.8 1427.6 1799.9 948.2
Mai 378.9 887.6 391.5 1120.0 1042.7 - - -
Juin - - - - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 272.8 - - - - - - -
Octobre 1056.0 1383.5 1229.2 1609.8 922.7 880.2 153.0 -
Novembre 3795.0 5382.8 4669.4 3341.2 4286.9 3747.6 3992.8 3024.5
Décembre 6705.3 7584.5 8016.4 5818.4 6214.7 6667.9 6669.3 4827.6
