# DH 19 (deg C h)
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 11712.4 10180.7 10855.3 9307.3 9119.8 9812.8 10042.0 9264.6
Février 9966.8 8874.7 9690.3 9402.9 9503.7 7883.1 8913.2 6041.6
Mars 7922.7 8207.7 7369.8 7252.2 7178.0 6489.1 6834.6 6118.4
Avril 5877.4 5914.4 5072.2 5896.3 5583.5 3120.2 3813.8 2469.9
Mai 1069.9 2174.8 1543.9 3070.0 3027.1 - - -
Juin - - - - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 740.6 - - - - - - -
Octobre 3645.4 3218.1 1865.2 4227.7 2055.7 2791.8 370.0 -
Novembre 6861.0 8473.8 7720.0 6404.0 7387.1 6725.2 6851.3 5536.8
Décembre 9573.3 10452.5 10884.4 8679.6 9081.0 9535.9 15639.4 7659.1
