# DH21 (°Ch) Altitude ≤400m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 13200.4 11668.7 12341.2 10795.3 10607.8 11300.8 11520.5 10752.6
Février 11310.8 10218.7 11034.3 10746.9 10847.7 9225.0 10257.2 7375.6
Mars 9402.4 9689.8 8843.1 8719.6 8657.9 7919.8 8257.8 7568.3
Avril 7283.3 7285.0 6396.5 7309.9 6967.5 3977.6 4811.6 3284.2
Mai 1437.0 2827.6 2243.2 4160.5 4074.8 - - -
Juin - - - - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 979.8 - - - - - - -
Octobre 4977.9 4112.7 2153.2 5578.2 2614.1 3925.9 482.0 -
Novembre 8298.6 9913.8 9154.2 7844.0 8822.0 8128.7 8239.6 6748.2
Décembre 11061.3 11940.5 12372.4 10167.6 10569.0 11023.9 11021.0 9142.7
