# E (kWh/m²) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 38.36 31.13 47.86 39.47 32.40 40.40 98.24 92.47
Février 37.47 45.92 55.90 61.19 59.81 63.77 100.73 91.37
Mars 77.61 61.88 91.20 95.11 73.50 110.02 116.26 109.83
Avril 86.79 79.71 86.83 84.18 89.72 86.61 104.57 79.80
Mai 87.83 48.02 81.59 76.39 66.18 45.69 1.74 -
Juin 60.45 - 24.21 - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 67.85 57.80 43.65 5.81 - - - -
Octobre 61.45 61.93 66.87 61.93 87.26 68.99 50.27 0.82
Novembre 43.04 33.95 45.76 63.38 42.57 63.30 87.35 85.22
Décembre 34.26 37.72 33.59 41.26 27.50 38.16 85.07 75.00
