# E (kWh/m2) sous 400m d'altitude
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 38.36 31.13 47.86 39.47 32.40 40.40 98.24 92.47
Février 37.47 45.92 55.90 61.19 59.81 63.77 100.73 91.37
Mars 77.61 61.88 91.20 95.11 73.50 110.02 116.26 109.83
Avril 86.79 79.71 86.83 84.18 89.72 61.26 91.41 79.80
Mai 19.19 48.02 41.69 71.22 62.90 - - -
Juin - - - - - - - -
Juillet - - - - - - - -
Aout - - - - - - - -
Septembre 16.11 - - - - - - -
Octobre 61.45 52.89 13.39 59.63 37.37 68.99 9.68 -
Novembre 43.04 33.95 45.76 63.38 42.57 63.30 87.35 71.76
Décembre 34.26 37.72 33.59 41.26 27.50 38.16 85.07 75.00
