# Nref (21°C) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 744 744 744 744 744 744 744 744
Février 672 672 672 672 672 672 672 672
Mars 742 744 744 744 742 738 732 743
Avril 719 718 711 720 718 712 650 709
Mai 663 682 632 730 669 285 298 -
Juin 594 24 413 250 240 - - -
Juillet 266 - - - - - - -
Aout 272 113 - - - - - -
Septembre 672 733 285 373 336 304 - -
Octobre 722 624 697 744 711 657 645 257
Novembre 720 720 720 720 720 720 714 719
Décembre 744 744 744 744 744 744 744 744
