# Tefs (°C) Altitude 400m-800m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 5.8 4.9 4.1 6.9 7.0 7.8 6.6 6.4
Février 3.5 4.1 2.4 5.2 4.8 7.5 6.5 9.7
Mars 4.9 4.4 6.5 6.2 6.7 8.2 7.4 9.4
Avril 7.1 5.6 7.0 7.6 7.6 9.3 10.9 10.0
Mai 9.4 9.3 12.1 9.1 10.9 12.9 14.7 15.2
Juin 13.1 12.9 13.7 14.3 13.3 15.5 16.0 18.7
Juillet 14.1 14.9 16.2 16.7 15.8 17.8 21.6 19.4
Aout 15.8 15.3 16.8 15.1 16.0 17.8 18.9 23.4
Septembre 13.9 14.8 16.0 16.2 16.1 17.7 20.9 18.0
Octobre 12.7 12.6 13.8 13.9 13.5 15.7 16.4 17.8
Novembre 10.5 8.5 9.3 11.3 10.4 12.0 12.1 12.7
Décembre 7.2 5.9 5.3 8.5 7.2 7.8 7.4 10.1
