# Tefs (ºC) sous altitude 400 m
# Mois H1a H1b H1c H2a H2b H2c H2d H3
Janvier 7.8 6.9 6.1 8.9 9.0 9.8 8.6 8.4
Février 5.5 6.1 4.4 7.2 6.8 9.5 8.5 11.7
Mars 6.9 6.4 8.5 8.2 8.7 10.2 9.4 11.4
Avril 9.1 7.6 9.0 9.6 9.6 11.3 12.9 12.0
Mai 11.4 11.3 14.1 11.1 12.9 14.9 16.7 17.2
Juin 15.1 14.9 15.7 16.3 15.3 17.5 18.0 20.7
Juillet 16.1 16.9 18.2 18.7 17.8 19.8 23.6 21.4
Aout 17.8 17.3 18.8 17.1 18.0 19.8 20.9 25.4
Septembre 15.9 16.8 18.0 18.2 18.1 19.7 22.9 20.0
Octobre 14.7 14.6 15.8 15.9 15.5 17.7 18.4 19.8
Novembre 12.5 10.5 11.3 13.3 12.4 14.0 14.1 14.7
Décembre 9.2 7.9 7.3 10.5 9.2 9.8 9.4 12.1
